101499,b3582,sgbU,862
101500,b3581,sgbH,664
101501,b3580,lyxK,1498
101502,b3579,yiaO,988
101503,b3578,yiaN,1279
101504,b3577,yiaM,475
101505,b3576,yiaL,469
101506,b3575,yiaK,1000
101507,b3574,yiaJ,850
101508,b3573,yiaI,475
101509,b3572,avtA,1255
101510,b3571,malS,2032
101511,b3570,bax,826
101512,b3569,xylR,1180
101513,b3568,xylH,1183
101514,b3567,xylG,1543
101515,b3566,xylF,994
101516,b3565,xylA,1324
101517,b3564,xylB,1456
101518,b3563,yiaB,343
101519,b3562,yiaA,439
101520,b3561,yiaH,997
106025,b3505,insH,1018
106026,b3504,yhiS,784
110914,b4220,ytfM,1735
110915,b4221,ytfN,3781
110916,b4222,ytfP,343
110917,b4223,yzfA,271
110918,b4224,chpS,253
110919,b4225,chpB,352
111247,b0149,mrcB,2536
111248,b0150,fhuA,2245
111249,b0151,fhuC,799
111250,b0152,fhuD,892
111251,b0153,fhuB,1984
115767,b0223,yafJ,769
115768,b0224,yafK,742
115769,b0225,yafQ,280
115770,b0226,dinJ,262
115771,b0227,yafL,751
115772,b0228,yafM,499
115773,b0229,fhiA,1714
115774,b0230,mbhA,757
115775,b0231,dinB,1057
115776,b0232,yafN,295
115777,b0233,yafO,400
115778,b0234,yafP,454
115779,b0235,ykfJ,268
115780,b0236,prfH,502
120233,b0245,ykfI,343
120234,b0246,yafW,319
120235,b4504,ykfH,223
120236,b0247,ykfG,478
120237,b0248,yafX,460
120238,b0249,ykfF,241
120239,b0250,ykfB,469
120240,b0251,yafY,859
120241,b0252,yafZ,823
120242,b0253,ykfA,865
120243,b0254,perR,895
120244,b0255,insN,406
120245,b0256,insI,1153
120246,b0257,insO,427
120247,b0258,ykfC,1147
120248,b0259,insH,1018
120249,b0260,mmuP,1405
120250,b0261,mmuM,934
120251,b0262,afuC,1048
120252,b0263,afuB,364
120253,b0264,insB,505
120254,b0265,insA,277
120255,b4505,ykgN,340
120256,b0266,yagB,352
120257,b0267,yagA,1156
120258,b0268,yagE,931
120259,b0269,yagF,1969
120260,b0270,yagG,1384
120261,b0271,yagH,1612
120262,b0272,yagI,760
120263,b0273,argF,1006
120264,b0274,insB,505
120265,b0275,insA,277
120266,b0276,yagJ,733
120267,b0277,yagK,628
120268,b0278,yagL,700
120269,b0279,yagM,856
120270,b0280,yagN,442
120271,b0281,intF,1402
120272,b0282,yagP,412
120273,b0283,yagQ,958
120274,b0284,yagR,2200
120275,b0285,yagS,958
120276,b0286,yagT,691
120277,b0287,yagU,616
120278,b0288,ykgJ,331
120279,b0289,yagV,712
120280,b0290,yagW,1645
120281,b0291,yagX,2527
120282,b0292,yagY,670
120283,b0293,yagZ,589
120284,b0294,ykgK,592
120285,b0295,ykgL,229
120286,b4506,ykgM,142
120287,b0297,eaeH,889
120288,b0298,insE,310
120289,b0299,insF,868
120290,b0300,ykgA,688
120291,b0301,ykgB,595
120292,b0303,ykgI,238
120293,b0304,ykgC,1327
120294,b0305,ykgD,856
120295,b0306,ykgE,721
120296,b0307,ykgF,1429
120297,b0308,ykgG,697
120298,b0310,ykgH,670
120299,b0311,betA,1672
120300,b0312,betB,1474
120301,b0313,betI,589
120302,b0314,betT,2035
120303,b0315,yahA,1090
120304,b0316,yahB,934
120305,b0317,yahC,499
120306,b0318,yahD,607
120307,b0319,yahE,865
120308,b0320,yahF,1549
120309,b0321,yahG,1420
120310,b0322,yahH,298
120311,b0323,yahI,952
120312,b0324,yahJ,1384
120313,b0325,yahK,1051
120314,b0326,yahL,817
120315,b0327,yahM,247
120316,b0328,yahN,673
120317,b0329,yahO,277
120318,b0330,prpR,1588
120319,b0331,prpB,892
120320,b0333,prpC,1171
120321,b0334,prpD,1453
120322,b0335,prpE,1888
120323,b0336,codB,1261
120324,b0337,codA,1285
120325,b0338,cynR,901
120326,b0339,cynT,661
120327,b0340,cynS,472
120328,b0341,cynX,1156
120329,b0342,lacA,613
120330,b0343,lacY,1255
120331,b0344,lacZ,3076
120332,b0345,lacI,1084
120333,b0346,mhpR,949
120334,b0347,mhpA,1666
120335,b0348,mhpB,946
120336,b0349,mhpC,883
120337,b0350,mhpD,811
120338,b0351,mhpF,952
120339,b0352,mhpE,1015
120340,b0353,mhpT,1213
120341,b0354,yaiL,541
120342,b0355,frmB,835
120343,b0356,frmA,1111
120344,b0357,frmR,277
120345,b0358,yaiO,775
120346,b0359,yaiX,217
120347,b0360,insC,412
120348,b0361,insD,907
120349,b0362,yaiF,388
120350,b0363,yaiP,1198
120351,b0364,yaiS,559
120352,b0365,tauA,964
120353,b0366,tauB,769
120354,b0367,tauC,829
120355,b0368,tauD,853
124802,b0371,yaiT,1462
124803,b0372,insF,868
124804,b0373,insE,310
124805,b0374,yaiU,1405
124806,b0375,yaiV,670
124807,b0376,ampH,1159
124808,b0377,sbmA,1222
124809,b0378,yaiW,1096
124810,b0379,yaiY,310
124811,b0380,yaiZ,214
124812,b0381,ddlA,1096
124813,b0382,yaiB,262
124814,b0383,phoA,1417
124815,b0384,psiF,322
124816,b0385,yaiC,1117
129367,b0493,ybbO,811
129368,b0494,tesA,628
129369,b0495,ybbA,688
129370,b0496,ybbP,2416
129371,b0497,rhsD,4282
129372,b0498,ybbC,370
129373,b0499,ylbH,712
129374,b0500,ybbD,262
129375,b0502,ylbG,373
129376,b0503,ybbB,1096
129377,b0504,ybbS,928
129378,b0505,allA,484
129379,b0506,allR,817
133826,b0509,glxR,880
133827,b0510,ybbV,280
133828,b0511,ybbW,1456
133829,b0512,allB,1363
133830,b0513,ybbY,1303
133831,b0514,glxK,1147
133832,b0515,ylbA,787
133833,b0516,allC,1237
133834,b0517,allD,1051
133835,b0518,fdrA,1669
133836,b4572,ylbE,1260
133837,b0520,ylbF,817
133838,b0521,ybcF,895
138298,b0537,intD,1165
138299,b0539,ybcC,265
138300,b4508,ybcD,238
138301,b0540,insE,310
138302,b0541,insF,868
138303,b0542,renD,187
138304,b0543,emrE,334
138305,b0544,ybcK,1528
138306,b0545,ybcL,553
138307,b0546,ybcM,799
138308,b0547,ybcN,457
138309,b0548,ninE,172
138310,b0549,ybcO,292
138311,b0550,rusA,364
138312,b4509,ylcG,142
138313,b0551,ybcQ,385
138314,b0552,insH,1018
138315,b0553,nmpC,1129
138316,b0554,essD,217
138317,b0555,ybcS,499
138318,b0556,rzpD,463
138319,b4510,rzoD,184
138320,b0557,borD,295
138321,b0558,ybcV,412
138322,b0559,ybcW,208
138323,b0560,nohB,547
138324,b0561,tfaD,565
138325,b0562,ybcY,586
138326,b0563,ylcE,187
138327,b0564,appY,751
138328,b0565,ompT,955
138329,b0566,envY,763
138330,b0567,ybcH,892
138331,b0568,nfrA,2974
138332,b0569,nfrB,2239
138333,b0570,cusS,1444
138334,b0571,cusR,685
138335,b0572,cusC,1375
138336,b0573,cusF,334
138337,b0574,cusB,1225
138338,b0575,cusA,3145
138339,b0576,pheP,1378
138340,b0577,ybdG,1249
138341,b0578,nfnB,655
138342,b0579,ybdF,370
138343,b0580,ybdJ,250
138344,b0581,ybdK,1120
138345,b4415,hokE,154
138346,b0582,insL,1114
142853,b0643,ybeL,484
142854,b0644,ybeQ,979
142855,b0645,ybeR,709
142856,b0646,djlB,1429
142857,b0647,ybeT,556
142858,b0648,ybeU,709
142859,b0649,djlC,1453
142860,b0650,hscC,1672
142861,b0651,rihA,937
142862,b0652,gltL,727
142863,b0653,gltK,676
142864,b0654,gltJ,742
142865,b0655,gltI,910
142866,b0656,insH,1018
147349,b4513,kdpF,91
147350,b0699,ybfA,208
147351,b0700,rhsC,4195
147352,b0702,ybfB,328
147353,b0703,ybfO,1435
147354,b0704,ybfC,571
147355,b4514,ybfQ,256
147356,b0705,ybfL,1063
147357,b0706,ybfD,763
147358,b0707,ybgA,511
147359,b0708,phr,1420
151894,b0799,dinG,2152
151895,b0800,ybiB,964
151896,b0801,ybiC,1087
151897,b0802,ybiJ,262
151898,b0803,ybiI,268
151899,b0804,ybiX,679
151900,b0805,fiu,2284
151901,b0806,ybiM,262
151902,b0807,ybiN,928
151903,b0808,ybiO,2227
151904,b0809,glnQ,724
151905,b0810,glnP,661
151906,b0811,glnH,748
156369,b0829,yliA,1840
156370,b0830,yliB,1540
156371,b0831,yliC,922
156372,b0832,yliD,913
156373,b0833,yliE,2350
156374,b0834,yliF,1330
156375,b0835,yliG,1327
156376,b0836,yliH,385
156377,b0837,yliI,1117
156378,b0838,yliJ,628
156379,b0839,dacC,1204
156380,b0840,deoR,760
156381,b0841,ybjG,598
160835,b0850,ybjC,289
160836,b0851,nfsA,724
160837,b0852,rimK,904
160838,b0853,ybjN,478
160839,b0854,potF,1114
160840,b0855,potG,1135
160841,b0856,potH,955
160842,b0857,potI,847
160843,b0858,ybjO,490
160844,b0859,rumB,1129
160845,b0860,artJ,733
160846,b0861,artM,670
160847,b0862,artQ,718
160848,b0863,artI,733
160849,b0864,artP,730
160850,b0865,ybjP,517
160851,b0866,ybjQ,325
160852,b0867,ybjR,832
160853,b0868,ybjS,1015
160854,b0869,ybjT,1432
160855,b0870,ltaE,1003
165415,b0986,ymcC,646
165416,b0987,ymcD,307
165417,b4516,insA,277
165418,b0988,insB,505
165419,b0989,cspH,214
165420,b0990,cspG,214
165421,b0991,ymcE,232
165422,b4517,gnsA,175
165423,b0992,yccM,1075
165424,b0993,torS,2746
165425,b0994,torT,1030
165426,b0995,torR,694
165427,b0996,torC,1174
165428,b0997,torA,2548
165429,b0998,torD,601
165430,b0999,cbpM,307
165431,b1000,cbpA,922
165432,b1001,yccE,1258
165433,b1002,agp,1243
165434,b1003,yccJ,229
165435,b1004,wrbA,598
165436,b4518,ymdF,175
165437,b1006,ycdG,1330
165438,b1007,ycdH,496
165439,b1008,ycdI,592
165440,b1009,rarA,802
165441,b1010,ycdK,388
165442,b1011,ycdL,694
165443,b1012,ycdM,1150
165444,b1013,ycdC,640
165445,b1014,putA,3964
165446,b1015,putP,1510
165447,b4490,ycdN,831
165448,b1018,ycdO,1129
165449,b1019,ycdB,1273
165450,b1020,phoH,1066
165451,b1021,ycdP,415
165452,b1022,ycdQ,1327
165453,b1023,ycdR,2020
165454,b1024,ycdS,2425
165455,b1025,ycdT,1360
165456,b1026,insF,868
165457,b1027,insE,310
165458,b1028,ymdE,304
165459,b1029,ycdU,988
170011,b1137,ymfD,667
170012,b1138,ymfE,706
170013,b1139,lit,895
170014,b1140,intE,1129
170015,b1141,ymfG,247
170016,b1142,ymfH,313
170017,b1143,ymfI,343
170018,b1144,ymfJ,310
170019,b1145,ymfK,676
170020,b1146,ymfT,202
170021,b1147,ymfL,571
170022,b1148,ymfM,340
170023,b1149,ymfN,1369
170024,b1150,ymfR,184
170025,b1151,ymfO,475
170026,b1152,ymfP,664
170027,b1153,ymfQ,586
170028,b1154,ycfK,631
170029,b1155,ymfS,415
170030,b1156,tfaE,604
170031,b1157,stfE,538
170032,b1158,pin,556
170033,b1159,mcrA,835
170034,b4519,icdC,154
